latitude,longitude,depth,mag,place
9.4027,94.0269,10.0,5.0,"286 km SSE of Port Blair, India"
9.5434,93.9855,10.0,4.8,"271 km SSE of Port Blair, India"
33.1412,76.7171,10.0,4.3,"39 km SSW of Padam, India"
25.6032,93.2892,10.0,4.1,"20 km SE of Lumding Railway Colony, India"
11.7544,93.2342,84.516,4.5,"54 km E of Port Blair, India"
11.8069,92.7976,58.168,4.6,"14 km NE of Bamboo Flat, India"
26.0489,95.4358,82.85,4.5,"65 km ESE of Tuensang, India"
27.357,87.867,20.0,5.9,
25.011,94.186,55.0,5.6,
36.405,70.724,207.8,7.4,
32.052,87.784,10.0,5.9,
13.248,95.42,25.0,5.8,
30.013,69.606,10.0,5.8,
29.956,69.761,10.0,6.5,
30.276,70.041,10.0,6.5,
31.525,80.487,20.0,6.7,
31.422,80.554,20.0,6.3,
12.01,92.483,10.0,5.8,
36.421,71.224,215.6,6.6,
29.504,80.845,25.9,6.0,
29.543,80.915,25.0,5.7,
29.706,80.935,25.0,6.3,
29.937,68.778,20.2,6.0,
29.906,68.681,25.0,6.2,
29.988,68.588,25.0,6.9,
28.565,78.961,27.0,5.6,
36.395,70.903,196.4,5.8,
27.419,92.576,14.4,5.9,
21.487,94.322,94.3,5.7,
29.535,80.823,20.0,5.7,
36.715,71.625,273.2,6.0,
26.107,96.115,25.0,5.6,
13.555,96.463,30.0,6.8,
33.617,75.333,20.0,5.5,
28.463,94.248,16.9,5.7,
36.034,77.714,20.0,5.9,
8.823,93.637,15.0,6.1,
31.079,93.639,20.0,5.7,
14.596,93.48,32.9,5.7,
27.338,91.91,13.7,5.8,
17.412,73.885,15.0,6.6,
36.448,70.451,212.0,5.6,
8.727,93.626,15.0,5.8,
36.128,70.085,150.3,5.8,
36.394,70.746,205.6,6.2,
17.747,80.775,20.0,5.7,
34.556,70.826,30.0,5.6,
36.369,70.891,193.2,5.9,
23.041,94.636,135.0,6.3,
25.977,95.34,76.1,7.0,
9.131,93.926,25.4,6.4,
11.941,95.112,20.0,6.3,
32.158,95.042,15.0,5.8,
30.739,84.443,10.0,5.5,
35.512,71.16,69.1,5.7,
32.299,92.1,10.0,5.6,
25.264,96.389,15.0,6.3,
25.266,96.505,20.0,6.1,
9.304,92.497,36.8,5.5,
26.469,93.127,35.0,5.5,
13.595,95.874,20.0,5.9,
36.412,70.808,201.6,5.9,
12.447,95.084,19.3,5.5,
10.142,92.987,52.5,5.7,
25.206,94.708,62.3,5.7,
36.374,70.83,211.9,6.2,
36.278,69.681,24.0,6.3,
36.382,71.433,107.3,5.9,
31.356,91.444,10.0,5.9,
36.62,96.562,18.0,5.5,
35.919,73.416,30.0,6.2,
35.921,73.347,30.0,5.8,
35.941,73.387,30.0,6.0,
35.926,73.4,35.0,5.6,
35.907,73.372,25.0,5.5,
35.648,69.853,116.0,5.9,
34.732,70.396,64.1,5.6,
29.284,68.571,17.0,5.6,
24.281,93.548,30.0,5.9,
10.686,92.583,46.0,5.7,
35.178,86.481,33.0,6.9,
35.256,86.602,33.0,5.9,
33.081,86.877,33.0,5.5,
33.243,86.749,33.0,5.5,
36.369,71.16,221.0,5.5,
11.43,92.346,25.0,6.0,
11.446,92.357,33.0,6.1,
27.727,86.11,33.0,5.7,
36.469,70.912,208.0,5.5,
36.353,70.763,211.0,6.5,
36.49,70.892,173.0,5.6,
28.596,85.496,70.0,5.6,
36.457,70.479,204.0,5.5,
35.054,72.87,22.0,6.2,
32.455,78.43,33.0,6.8,
31.95,78.521,33.0,6.0,
14.65,96.139,15.0,5.5,
35.167,86.571,33.0,5.8,
29.551,68.601,26.0,5.5,
35.819,79.915,33.0,6.3,
35.88,80.016,31.0,5.9,
33.093,92.924,33.0,6.1,
36.082,70.894,99.0,5.5,
35.16,80.801,26.0,5.5,
35.866,79.848,33.0,5.8,
21.485,94.7,157.0,6.5,
32.555,78.457,51.0,5.5,
21.817,95.417,44.0,5.5,
10.281,92.875,33.0,5.7,
29.795,89.559,82.0,5.5,
36.507,71.042,190.0,6.1,
21.747,92.99,40.0,5.7,
36.436,70.762,210.0,5.5,
32.693,88.388,33.0,6.5,
12.796,93.016,33.0,5.5,
12.863,93.07,33.0,5.6,
33.033,82.285,27.0,6.0,
36.62,71.274,227.0,5.9,
16.603,95.857,10.0,5.7,
36.483,70.964,185.0,5.6,
32.152,96.961,33.0,5.8,
30.029,80.31,33.0,5.9,
36.475,71.218,229.0,5.7,
36.479,70.134,229.0,6.1,
18.114,94.816,56.0,5.6,
36.517,76.892,63.0,6.1,
30.506,88.583,33.0,6.2,
29.331,81.258,34.0,5.7,
29.598,81.092,18.0,6.5,
15.869,94.701,29.0,5.5,
17.179,73.707,33.0,5.5,
35.598,82.073,33.0,5.5,
8.398,93.35,33.0,6.2,
27.394,88.752,17.0,6.1,
36.362,71.416,137.0,5.5,
36.338,71.393,95.9,5.9,
24.941,95.384,147.6,5.7,
36.355,71.085,228.7,6.3,
31.851,78.411,33.0,5.6,
34.501,91.444,10.0,6.0,
35.693,73.594,33.0,6.2,
12.198,92.855,33.0,5.7,
31.696,82.246,33.0,6.5,
31.582,82.205,33.0,6.0,
18.519,86.276,24.0,5.5,
34.583,70.508,25.3,5.7,
36.148,69.011,36.0,6.6,
12.942,93.582,78.0,6.8,
25.092,94.711,62.8,5.6,
36.502,71.082,208.8,6.2,
36.427,71.443,131.7,5.6,
35.994,69.115,33.0,5.6,
36.372,70.738,214.5,7.4,
36.39,71.034,171.8,6.1,
34.616,70.484,33.0,6.1,
36.431,70.826,207.6,6.4,
24.543,94.661,68.9,5.5,
36.634,71.198,253.6,5.8,
36.429,70.89,201.6,5.5,
36.431,70.75,208.5,5.5,
24.257,93.545,33.0,6.0,
29.577,81.869,33.0,5.6,
36.471,70.906,203.8,5.6,
36.295,69.522,53.5,5.6,
10.851,94.618,33.0,5.5,
36.118,70.487,136.6,5.8,
24.641,92.891,22.6,6.0,
27.152,91.986,11.8,5.6,
35.527,87.283,33.0,5.6,
8.494,93.653,33.0,5.6,
30.885,70.269,36.6,5.9,
30.91,70.31,33.0,5.5,
35.489,87.173,33.0,5.8,
18.367,87.188,10.0,5.5,
36.19,70.896,98.7,7.4,
29.177,95.176,45.2,5.7,
36.174,70.78,120.1,6.4,
34.151,69.544,24.6,5.7,
36.341,71.024,245.1,5.5,
8.8,94.165,27.0,6.0,
36.482,70.66,206.4,5.5,
32.128,76.374,33.0,5.5,
36.495,71.114,186.9,5.9,
36.374,70.712,222.8,5.6,
9.117,93.489,80.1,5.9,
31.24,86.847,33.0,6.1,
15.168,96.314,17.4,5.5,
15.188,96.201,14.8,5.6,
34.424,80.161,9.1,6.0,
31.049,77.997,33.0,5.5,
36.668,71.247,46.5,5.6,
23.753,94.177,26.5,5.5,
34.572,91.633,33.0,6.4,
36.714,71.092,88.7,5.6,
36.067,70.848,116.7,5.5,
36.539,71.125,224.5,5.5,
36.104,71.156,102.6,5.6,
36.48,70.673,202.1,6.2,
25.271,94.202,49.5,6.3,
29.502,83.714,47.5,5.6,
36.454,71.437,95.4,6.1,
24.688,91.57,33.0,5.9,
36.483,70.95,201.4,5.6,
25.149,95.127,90.5,7.3,
36.461,71.043,195.0,6.3,
26.755,86.616,57.4,6.9,
36.425,70.703,212.2,5.9,
34.354,91.88,7.6,6.2,
